EmployeeID,Name,Age,Department,Role,Location,DigitalTrainingHours,DigitalTransformationScore,YearsAtCompany,Satisfaction
1,Employee_1,59,Marketing,Analyst,Paris,43.6,40.19,12.2,5
2,Employee_2,49,HR,Analyst,Sydney,81.8,15.37,32.5,4.1
3,Employee_3,35,HR,Analyst,Paris,12,57.26,11.8,2.2
4,Employee_4,63,Marketing,Executive,Sydney,54.4,27.7,17.9,5
5,Employee_5,28,Finance,Analyst,New York,0.6,92.13,29.1,5.5
6,Employee_6,41,IT,Coordinator,New York,32.5,58.32,27.7,4.6
7,Employee_7,59,IT,Manager,Paris,36.6,59.28,39.5,7.1
8,Employee_8,39,IT,Coordinator,Dubai,39.6,35.49,9,4.8
9,Employee_9,43,Marketing,Specialist,Paris,69.5,5.2,26.5,9.7
10,Employee_10,31,HR,Analyst,London,38.9,3.17,24.4,6.4
11,Employee_11,31,Marketing,Coordinator,Singapore,44.9,42.33,36.6,8.3
12,Employee_12,44,Marketing,Executive,Sydney,23.8,8.46,6.3,2
13,Employee_13,56,Sales,Specialist,London,37.3,60.68,30.1,4.6
14,Employee_14,60,HR,Coordinator,Sydney,22.7,88.1,22.7,4
15,Employee_15,44,Sales,Analyst,Toronto,7.3,88.29,11,6.1
16,Employee_16,23,Operations,Executive,Dubai,60.3,65.9,19,8.8
17,Employee_17,42,HR,Analyst,London,66.8,21.12,13.4,1.7
18,Employee_18,22,HR,Specialist,Sydney,61.9,86.3,23.2,1.7
19,Employee_19,44,HR,Coordinator,Tokyo,46.3,88.61,35.6,8.7
20,Employee_20,64,IT,Analyst,Sydney,38,19.67,22.8,2.9
21,Employee_21,50,IT,Specialist,Paris,86.3,73.74,25.3,7
22,Employee_22,58,Sales,Executive,Paris,51.9,28.65,20.7,5.9
23,Employee_23,22,Sales,Coordinator,Toronto,47.9,80.26,2,8.5
24,Employee_24,41,HR,Coordinator,San Francisco,2.6,99.72,9.3,2.1
25,Employee_25,53,Sales,Specialist,Sydney,34.1,3,19.7,2.2
26,Employee_26,32,IT,Coordinator,Paris,38,89.74,12.4,6
27,Employee_27,42,Marketing,Executive,Singapore,39.9,62.26,7.3,9.5
28,Employee_28,64,Marketing,Executive,Dubai,58,97.34,20.2,4.7
29,Employee_29,45,Marketing,Coordinator,Sydney,53.4,46.5,12.9,3.9
30,Employee_30,47,Sales,Analyst,Berlin,60.8,84.74,10.3,6.5
31,Employee_31,62,Operations,Analyst,Dubai,76.5,6.24,18.6,9.4
32,Employee_32,48,IT,Executive,Paris,81.3,33.53,5.3,8.5
33,Employee_33,36,Operations,Analyst,Toronto,71.8,6.7,37.1,10
34,Employee_34,35,Sales,Specialist,Tokyo,95.6,97.53,34.7,1.2
35,Employee_35,64,Finance,Manager,Tokyo,1.8,81.7,28.3,2
36,Employee_36,23,HR,Coordinator,Paris,19.6,85.25,4.2,6.5
37,Employee_37,57,IT,Specialist,Paris,0.8,93.8,31,8.4
38,Employee_38,27,Marketing,Executive,New York,64.7,8.51,32.3,3.6
39,Employee_39,41,Operations,Manager,Dubai,89.8,38.56,30.7,3.2
40,Employee_40,29,Finance,Executive,Toronto,24.3,7.1,4.6,8.1
41,Employee_41,59,Finance,Manager,Dubai,92.7,21.08,25.8,1.5
42,Employee_42,38,IT,Specialist,New York,6,22.94,33.4,4.3
43,Employee_43,24,IT,Manager,Paris,93.4,46.91,23.1,5.6
44,Employee_44,45,Finance,Analyst,Dubai,35.2,26.86,25.9,6
45,Employee_45,34,HR,Specialist,Sydney,10.1,10.1,18.3,7.6
46,Employee_46,29,HR,Coordinator,Dubai,48.6,16.75,21.1,4.2
47,Employee_47,46,Operations,Executive,Berlin,25.7,14.73,1.4,6.5
48,Employee_48,22,HR,Analyst,Dubai,28.5,97.31,25.6,6.3
49,Employee_49,40,Finance,Coordinator,London,30.7,75.93,3.3,5.9
50,Employee_50,48,Finance,Manager,San Francisco,80.3,96.78,17.4,6.8
51,Employee_51,27,Sales,Analyst,Paris,53.9,43.97,11.7,3.3
52,Employee_52,64,Finance,Coordinator,Sydney,31.1,27.84,21.8,1.8
53,Employee_53,28,HR,Specialist,London,61,79.83,5.3,2.1
54,Employee_54,55,Marketing,Manager,Berlin,71.6,32.63,27.7,3
55,Employee_55,34,Operations,Coordinator,Sydney,27.3,29.94,31.8,5.5
56,Employee_56,37,Sales,Manager,Sydney,41.4,23.25,6.5,8.6
57,Employee_57,56,HR,Coordinator,Paris,12.2,12.97,4.2,7.3
58,Employee_58,60,Operations,Executive,London,18.1,25.65,5.8,8.1
59,Employee_59,24,HR,Specialist,Sydney,68.1,35.53,35.1,4.2
60,Employee_60,22,Sales,Analyst,San Francisco,18.1,67.4,21.1,4.6
61,Employee_61,26,Finance,Coordinator,New York,52.5,6.26,18.7,4.5
62,Employee_62,62,Marketing,Manager,Tokyo,70.9,21.05,4.3,2.7
63,Employee_63,24,Sales,Specialist,Berlin,10.7,80.9,26,1.6
64,Employee_64,49,Finance,Analyst,Berlin,56.7,14.69,34.7,6.3
65,Employee_65,38,Sales,Manager,London,25.7,34.26,33.1,9.9
66,Employee_66,46,IT,Specialist,Sydney,96.3,86.47,25,2.5
67,Employee_67,64,Marketing,Manager,Tokyo,48.4,15.49,3,1.4
68,Employee_68,54,HR,Specialist,London,80.6,8.27,4.5,8
69,Employee_69,30,HR,Analyst,New York,55,48.45,2,3.3
70,Employee_70,56,Marketing,Analyst,New York,4.3,30.24,10.3,8.5
71,Employee_71,34,IT,Manager,Toronto,63.3,56.34,5.4,7.3
72,Employee_72,51,Finance,Specialist,San Francisco,95.1,80.38,10.4,9.5
73,Employee_73,35,HR,Coordinator,Toronto,60.2,13.71,15.4,4.7
74,Employee_74,28,IT,Analyst,Paris,81.9,58.07,37.7,7
75,Employee_75,34,HR,Coordinator,Toronto,88.4,50.55,24.4,5.2
76,Employee_76,43,Operations,Coordinator,San Francisco,22.8,14.41,33.4,6.7
77,Employee_77,60,Finance,Executive,Toronto,21.2,62.4,28.4,5
78,Employee_78,41,Operations,Manager,Sydney,61.1,27.36,4.5,2.7
79,Employee_79,36,Marketing,Manager,Singapore,41.1,48.78,29.4,5.6
80,Employee_80,38,Finance,Manager,Toronto,84,8.23,11,5.8
81,Employee_81,44,IT,Specialist,London,90,45.96,25.6,8.3
82,Employee_82,46,Finance,Analyst,San Francisco,35.3,30.65,13.6,7.6
83,Employee_83,45,Finance,Analyst,Dubai,23.7,82.24,39.9,7
84,Employee_84,61,IT,Executive,Berlin,78.1,5.7,10.5,2
85,Employee_85,49,Marketing,Executive,Paris,27.5,41.86,11.2,7.5
86,Employee_86,35,Finance,Executive,San Francisco,82.3,45.84,37.2,5.5
87,Employee_87,21,Marketing,Coordinator,London,42.4,72.5,1,9
88,Employee_88,45,Marketing,Manager,New York,66.8,57.43,27.9,9.3
89,Employee_89,27,Marketing,Specialist,Tokyo,9.6,66.72,29,1.5
90,Employee_90,29,HR,Analyst,New York,62.4,77.7,33.5,8.4
91,Employee_91,44,Sales,Specialist,Sydney,45.2,86.22,39,1.3
92,Employee_92,21,Marketing,Manager,Tokyo,58.7,31.39,39,4.3
93,Employee_93,64,IT,Manager,London,16.8,53.8,2.6,5.9
94,Employee_94,28,Sales,Analyst,London,73.7,84.01,32.9,2.3
